disease,symptom_list,precaution,doctor_type
Fungal Infection,"dischromic__patches, itching, nodal_skin_eruptions, skin_rash","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Dermatologist
Fungal Infection,"dischromic__patches, nodal_skin_eruptions, skin_rash","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Dermatologist
Fungal Infection,"dischromic__patches, itching, nodal_skin_eruptions","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Dermatologist
Fungal Infection,"dischromic__patches, itching, skin_rash","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Dermatologist
Fungal Infection,"itching, nodal_skin_eruptions, skin_rash","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Dermatologist
Fungal Infection,"dischromic__patches, nodal_skin_eruptions, skin_rash","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Dermatologist
Fungal Infection,"dischromic__patches, itching, nodal_skin_eruptions","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Dermatologist
Fungal Infection,"dischromic__patches, itching, skin_rash","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Dermatologist
Fungal Infection,"itching, nodal_skin_eruptions, skin_rash","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Dermatologist
Fungal Infection,"dischromic__patches, itching, nodal_skin_eruptions, skin_rash","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Dermatologist
Allergy,"chills, continuous_sneezing, shivering, watering_from_eyes","apply calamine, cover area with bandage, use ice to compress itching",Allergist/Immunologist
Allergy,"chills, shivering, watering_from_eyes","apply calamine, cover area with bandage, use ice to compress itching",Allergist/Immunologist
Allergy,"chills, continuous_sneezing, watering_from_eyes","apply calamine, cover area with bandage, use ice to compress itching",Allergist/Immunologist
Allergy,"continuous_sneezing, shivering, watering_from_eyes","apply calamine, cover area with bandage, use ice to compress itching",Allergist/Immunologist
Allergy,"chills, continuous_sneezing, shivering","apply calamine, cover area with bandage, use ice to compress itching",Allergist/Immunologist
Allergy,"chills, shivering, watering_from_eyes","apply calamine, cover area with bandage, use ice to compress itching",Allergist/Immunologist
Allergy,"chills, continuous_sneezing, watering_from_eyes","apply calamine, cover area with bandage, use ice to compress itching",Allergist/Immunologist
Allergy,"continuous_sneezing, shivering, watering_from_eyes","apply calamine, cover area with bandage, use ice to compress itching",Allergist/Immunologist
Allergy,"chills, continuous_sneezing, shivering","apply calamine, cover area with bandage, use ice to compress itching",Allergist/Immunologist
Allergy,"chills, continuous_sneezing, shivering, watering_from_eyes","apply calamine, cover area with bandage, use ice to compress itching",Allergist/Immunologist
Gerd,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",General Physician
Gerd,"chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",General Physician
Gerd,"acidity, chest_pain, cough, stomach_pain, vomiting","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",General Physician
Gerd,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",General Physician
Gerd,"acidity, chest_pain, stomach_pain, ulcers_on_tongue, vomiting","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",General Physician
Gerd,"acidity, cough, stomach_pain, ulcers_on_tongue, vomiting","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",General Physician
Gerd,"acidity, chest_pain, cough, ulcers_on_tongue, vomiting","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",General Physician
Gerd,"chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",General Physician
Gerd,"acidity, chest_pain, cough, stomach_pain, vomiting","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",General Physician
Gerd,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",General Physician
Chronic Cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin","cold baths, anti itch medicine, consult doctor, eat healthy",General Physician
Chronic Cholestasis,"abdominal_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin","cold baths, anti itch medicine, consult doctor, eat healthy",General Physician
Chronic Cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin","cold baths, anti itch medicine, consult doctor, eat healthy",General Physician
Chronic Cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes","cold baths, anti itch medicine, consult doctor, eat healthy",General Physician
Chronic Cholestasis,"abdominal_pain, itching, loss_of_appetite, vomiting, yellowing_of_eyes, yellowish_skin","cold baths, anti itch medicine, consult doctor, eat healthy",General Physician
Chronic Cholestasis,"abdominal_pain, itching, nausea, vomiting, yellowing_of_eyes, yellowish_skin","cold baths, anti itch medicine, consult doctor, eat healthy",General Physician
Chronic Cholestasis,"itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin","cold baths, anti itch medicine, consult doctor, eat healthy",General Physician
Chronic Cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowish_skin","cold baths, anti itch medicine, consult doctor, eat healthy",General Physician
Chronic Cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin","cold baths, anti itch medicine, consult doctor, eat healthy",General Physician
Chronic Cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin","cold baths, anti itch medicine, consult doctor, eat healthy",General Physician
Drug Reaction,"burning_micturition, itching, skin_rash, spotting__urination, stomach_pain","stop irritation, consult nearest hospital, stop taking drug, follow up",Dermatologist
Drug Reaction,"burning_micturition, itching, spotting__urination, stomach_pain","stop irritation, consult nearest hospital, stop taking drug, follow up",Dermatologist
Drug Reaction,"burning_micturition, itching, skin_rash, spotting__urination","stop irritation, consult nearest hospital, stop taking drug, follow up",Dermatologist
Drug Reaction,"itching, skin_rash, spotting__urination, stomach_pain","stop irritation, consult nearest hospital, stop taking drug, follow up",Dermatologist
Drug Reaction,"burning_micturition, itching, skin_rash, stomach_pain","stop irritation, consult nearest hospital, stop taking drug, follow up",Dermatologist
Drug Reaction,"burning_micturition, skin_rash, spotting__urination, stomach_pain","stop irritation, consult nearest hospital, stop taking drug, follow up",Dermatologist
Drug Reaction,"burning_micturition, itching, spotting__urination, stomach_pain","stop irritation, consult nearest hospital, stop taking drug, follow up",Dermatologist
Drug Reaction,"burning_micturition, itching, skin_rash, spotting__urination","stop irritation, consult nearest hospital, stop taking drug, follow up",Dermatologist
Drug Reaction,"itching, skin_rash, spotting__urination, stomach_pain","stop irritation, consult nearest hospital, stop taking drug, follow up",Dermatologist
Drug Reaction,"burning_micturition, itching, skin_rash, stomach_pain","stop irritation, consult nearest hospital, stop taking drug, follow up",Dermatologist
Peptic Ulcer Diseae,"abdominal_pain, internal_itching, loss_of_appetite, passage_of_gases, vomiting","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",General Physician
Peptic Ulcer Diseae,"abdominal_pain, indigestion, internal_itching, passage_of_gases, vomiting","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",General Physician
Peptic Ulcer Diseae,"abdominal_pain, indigestion, internal_itching, loss_of_appetite, passage_of_gases","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",General Physician
Peptic Ulcer Diseae,"abdominal_pain, internal_itching, loss_of_appetite, passage_of_gases, vomiting","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",General Physician
Peptic Ulcer Diseae,"abdominal_pain, indigestion, internal_itching, passage_of_gases, vomiting","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",General Physician
Peptic Ulcer Diseae,"indigestion, internal_itching, loss_of_appetite, passage_of_gases, vomiting","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",General Physician
Peptic Ulcer Diseae,"abdominal_pain, indigestion, internal_itching, loss_of_appetite, vomiting","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",General Physician
Peptic Ulcer Diseae,"abdominal_pain, indigestion, loss_of_appetite, passage_of_gases, vomiting","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",General Physician
Peptic Ulcer Diseae,"abdominal_pain, indigestion, internal_itching, loss_of_appetite, passage_of_gases, vomiting","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",General Physician
Peptic Ulcer Diseae,"abdominal_pain, indigestion, internal_itching, loss_of_appetite, passage_of_gases, vomiting","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",General Physician
Aids,"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat","avoid open cuts, wear ppe if possible, consult doctor, follow up",Infectious Disease
Aids,"extra_marital_contacts, high_fever, patches_in_throat","avoid open cuts, wear ppe if possible, consult doctor, follow up",Infectious Disease
Aids,"extra_marital_contacts, high_fever, muscle_wasting","avoid open cuts, wear ppe if possible, consult doctor, follow up",Infectious Disease
Aids,"extra_marital_contacts, muscle_wasting, patches_in_throat","avoid open cuts, wear ppe if possible, consult doctor, follow up",Infectious Disease
Aids,"high_fever, muscle_wasting, patches_in_throat","avoid open cuts, wear ppe if possible, consult doctor, follow up",Infectious Disease
Aids,"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat","avoid open cuts, wear ppe if possible, consult doctor, follow up",Infectious Disease
Aids,"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat","avoid open cuts, wear ppe if possible, consult doctor, follow up",Infectious Disease
Aids,"extra_marital_contacts, high_fever, patches_in_throat","avoid open cuts, wear ppe if possible, consult doctor, follow up",Infectious Disease
Aids,"extra_marital_contacts, high_fever, muscle_wasting","avoid open cuts, wear ppe if possible, consult doctor, follow up",Infectious Disease
Aids,"high_fever, muscle_wasting, patches_in_throat","avoid open cuts, wear ppe if possible, consult doctor, follow up",Infectious Disease
Diabetes,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness, weight_loss",Consult a doctor,Endocrinologist
Diabetes,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness, weight_loss",Consult a doctor,Endocrinologist
Diabetes,"blurred_and_distorted_vision, excessive_hunger, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness, weight_loss",Consult a doctor,Endocrinologist
Diabetes,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness",Consult a doctor,Endocrinologist
Diabetes,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, weight_loss",Consult a doctor,Endocrinologist
Diabetes,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, obesity, polyuria, restlessness, weight_loss",Consult a doctor,Endocrinologist
Diabetes,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, lethargy, obesity, polyuria, restlessness, weight_loss",Consult a doctor,Endocrinologist
Diabetes,"excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness, weight_loss",Consult a doctor,Endocrinologist
Diabetes,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, polyuria, restlessness, weight_loss",Consult a doctor,Endocrinologist
Diabetes,"blurred_and_distorted_vision, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness, weight_loss",Consult a doctor,Endocrinologist
